relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
0.0	20.0	7.0	0.0	0.0	42.0	7.0	21.0	0.0	26.0	7.0	0.18
0.0	1.0	2.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	14.0	0.0
0.0	33.06	11.0	0.0	0.0	635.0	48.0	188.0	9.0	94.0	48.0	0.13
0.0	33.83	11.0	0.0	0.0	80.0	6.0	12.0	0.0	6.0	6.0	0.14
0.0	30.22	11.0	0.0	0.0	85.0	8.0	16.0	0.0	13.0	9.0	0.21
0.0	15.0	6.0	0.0	0.0	30.0	6.0	24.0	0.0	17.0	6.0	0.26
0.0	16.5	6.0	0.0	0.0	30.0	6.0	24.0	0.0	9.0	6.0	0.12
0.0	24.88	7.0	0.0	0.0	111.0	8.0	32.0	0.0	19.0	8.0	0.2
0.0	2.5	3.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	6.0	0.09
0.0	17.2	7.0	0.0	0.0	56.0	10.0	26.0	0.0	25.0	10.0	0.18
0.0	5.0	4.0	0.0	0.0	5.0	0.0	5.0	0.0	5.0	5.0	0.71
0.0	19.2	7.0	0.0	0.0	29.0	5.0	14.0	0.0	19.0	5.0	0.17
0.0	17.86	7.0	0.0	0.0	40.0	7.0	19.0	0.0	15.0	7.0	0.17
0.0	14.0	6.0	0.0	0.0	14.0	3.0	12.0	0.0	12.0	3.0	0.26
0.0	9.0	9.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0
0.0	10.0	10.0	0.0	0.0	20.0	0.0	0.0	0.0	4.0	5.0	0.33
0.0	19.2	7.0	0.0	0.0	59.0	10.0	29.0	0.0	32.0	10.0	0.18
0.0	12.0	5.0	0.0	0.0	48.0	8.0	8.0	0.0	17.0	8.0	0.23
0.0	30.0	8.0	0.0	0.0	240.0	15.0	30.0	0.0	16.0	15.0	0.14
0.0	5.0	4.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	2.0	0.33
0.0	2.0	2.0	9.0	9.0	0.0	0.0	0.0	0.0	35.0	9.0	0.17
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.11
0.0	16.6	7.0	0.0	0.0	54.0	10.0	24.0	0.0	27.0	10.0	0.17
0.0	3.1	4.0	0.0	0.0	0.0	0.0	28.0	0.0	6.0	29.0	0.14
0.0	5.71	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	7.0	0.0
0.0	19.4	7.0	0.0	0.0	60.0	10.0	30.0	0.0	28.0	10.0	0.16
0.0	1.0	2.0	0.0	0.0	0.0	0.0	11.0	0.0	2.0	11.0	0.12
0.0	22.17	6.0	0.0	0.0	131.0	12.0	12.0	37.0	6.0	12.0	0.11
0.0	12.5	6.0	0.0	0.0	27.0	6.0	21.0	0.0	18.0	6.0	0.24
0.0	14.5	6.0	0.0	0.0	27.0	6.0	24.0	0.0	19.0	6.0	0.23
0.0	21.75	10.0	0.0	0.0	28.0	4.0	20.0	0.0	15.0	4.0	0.23
0.0	15.5	6.0	0.0	0.0	28.0	6.0	24.0	0.0	20.0	6.0	0.24
0.0	8.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	4.0	0.2
0.0	22.17	6.0	0.0	0.0	124.0	12.0	12.0	39.0	6.0	12.0	0.14
0.0	17.6	5.0	0.0	0.0	15.0	0.0	5.0	13.0	22.0	5.0	0.18
0.0	5.0	4.0	0.0	0.0	8.0	0.0	8.0	0.0	10.0	8.0	0.56
0.0	17.17	7.0	0.0	0.0	30.0	6.0	25.0	0.0	18.0	6.0	0.19
0.0	0.07	2.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	14.0	0.18
0.0	18.8	7.0	0.0	0.0	58.0	10.0	28.0	0.0	25.0	10.0	0.15
0.0	14.0	7.0	0.0	0.0	11.0	2.0	4.0	0.0	5.0	2.0	0.21
0.0	17.14	7.0	0.0	0.0	39.0	7.0	18.0	0.0	25.0	7.0	0.19
0.0	3.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
0.0	32.6	11.0	0.0	0.0	64.0	5.0	10.0	0.0	15.0	5.0	0.27
0.0	18.2	5.0	0.0	0.0	15.0	0.0	6.0	14.0	60.0	5.0	0.14
0.0	17.17	7.0	0.0	0.0	31.0	6.0	25.0	0.0	14.0	6.0	0.22
0.0	19.4	5.0	0.0	0.0	15.0	0.0	6.0	15.0	42.0	5.0	0.21
0.0	16.0	7.0	0.0	6.0	12.0	3.0	9.0	0.0	6.0	3.0	0.21
0.0	0.38	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	8.0	0.17
0.0	34.38	11.0	0.0	0.0	87.0	8.0	16.0	0.0	14.0	8.0	0.19
0.0	12.0	7.0	0.0	0.0	10.0	2.0	2.0	2.0	10.0	2.0	0.2
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	0.21
0.0	30.88	11.0	0.0	0.0	627.0	48.0	186.0	5.0	99.0	48.0	0.13
0.0	14.0	6.0	0.0	0.0	24.0	6.0	24.0	0.0	9.0	6.0	0.14
0.0	18.2	5.0	0.0	0.0	15.0	0.0	5.0	14.0	38.0	5.0	0.18
0.0	12.0	6.0	0.0	0.0	4.0	1.0	2.0	0.0	3.0	1.0	0.14
0.0	15.5	6.0	0.0	0.0	28.0	6.0	24.0	0.0	16.0	6.0	0.23
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	9.0	0.2
0.0	28.21	11.0	0.0	0.0	599.0	48.0	165.0	5.0	104.0	48.0	0.14
0.0	18.4	5.0	0.0	0.0	15.0	0.0	5.0	15.0	34.0	5.0	0.2
0.0	18.86	7.0	0.0	0.0	41.0	7.0	20.0	0.0	24.0	7.0	0.18
0.0	4.0	4.0	0.0	0.0	5.0	5.0	5.0	5.0	5.0	5.0	0.71
0.0	18.4	7.0	0.0	0.0	58.0	10.0	28.0	0.0	21.0	10.0	0.12
0.0	17.43	7.0	0.0	0.0	42.0	7.0	21.0	0.0	16.0	7.0	0.18
0.0	0.9	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
0.0	15.0	6.0	0.0	0.0	30.0	6.0	24.0	0.0	10.0	6.0	0.14
0.0	16.0	6.0	0.0	0.0	24.0	5.0	18.0	0.0	14.0	5.0	0.19
0.0	8.33	8.0	0.0	0.0	7.0	1.0	2.0	0.0	8.0	3.0	0.42
0.0	2.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0
0.0	18.0	7.0	0.0	0.0	40.0	7.0	19.0	0.0	13.0	7.0	0.12
0.0	18.0	7.0	0.0	0.0	18.0	3.0	9.0	0.0	9.0	3.0	0.18
0.0	19.17	11.0	0.0	0.0	80.0	8.0	16.0	0.0	14.0	12.0	0.23
0.0	39.67	11.0	0.0	0.0	76.0	6.0	12.0	0.0	11.0	6.0	0.22
0.0	16.0	6.0	0.0	0.0	29.0	6.0	24.0	0.0	15.0	6.0	0.19
0.0	15.42	11.0	0.0	0.0	88.0	8.0	16.0	0.0	6.0	12.0	0.11
0.0	22.0	9.0	0.0	0.0	29.0	4.0	21.0	0.0	11.0	4.0	0.16
0.0	19.8	5.0	0.0	0.0	15.0	0.0	7.0	15.0	74.0	5.0	0.19
0.0	3.25	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
0.0	8.86	5.0	0.0	0.0	37.0	7.0	7.0	0.0	18.0	7.0	0.23
0.0	9.57	9.0	0.0	0.0	88.0	0.0	44.0	0.0	47.0	63.0	0.42
0.0	13.67	6.0	0.0	0.0	29.0	6.0	22.0	0.0	20.0	6.0	0.26
0.0	21.0	9.0	0.0	0.0	7.0	1.0	5.0	0.0	3.0	1.0	0.15
0.0	22.25	6.0	0.0	0.0	120.0	12.0	12.0	41.0	7.0	12.0	0.19
0.0	19.14	7.0	0.0	0.0	41.0	7.0	20.0	0.0	26.0	7.0	0.2
0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.22
0.0	15.43	7.0	0.0	0.0	36.0	7.0	15.0	0.0	24.0	7.0	0.17
0.0	30.5	11.0	0.0	0.0	61.0	6.0	12.0	0.0	5.0	6.0	0.07
0.0	3.0	3.0	1.0	0.0	1.0	0.0	1.0	0.0	12.0	1.0	0.29
0.0	20.0	7.0	0.0	0.0	42.0	7.0	21.0	0.0	27.0	7.0	0.18
0.0	8.0	7.0	0.0	0.0	30.0	5.0	5.0	0.0	5.0	5.0	0.83
0.0	14.75	7.0	0.0	0.0	18.0	4.0	13.0	0.0	11.0	4.0	0.19
0.0	15.5	6.0	0.0	0.0	29.0	6.0	24.0	0.0	7.0	6.0	0.13
0.0	14.0	7.0	0.0	0.0	30.0	5.0	10.0	0.0	7.0	5.0	0.16
0.0	18.0	7.0	0.0	0.0	17.0	3.0	8.0	0.0	12.0	3.0	0.15
0.0	17.0	7.0	0.0	0.0	55.0	10.0	25.0	0.0	16.0	10.0	0.1
0.0	17.6	7.0	0.0	0.0	29.0	5.0	14.0	0.0	22.0	5.0	0.22
0.0	18.4	5.0	0.0	0.0	15.0	0.0	5.0	15.0	21.0	5.0	0.17
0.0	52.75	11.0	0.0	8.0	717.0	56.0	219.0	0.0	67.0	32.0	0.15
0.0	19.0	9.0	0.0	0.0	21.0	3.0	15.0	0.0	10.0	3.0	0.18
0.0	1.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	6.0	0.25
0.0	29.94	8.0	0.0	0.0	272.0	17.0	34.0	0.0	20.0	17.0	0.15
0.0	17.83	7.0	0.0	0.0	33.0	6.0	26.0	0.0	10.0	6.0	0.15
0.0	18.29	7.0	0.0	0.0	40.0	7.0	19.0	0.0	19.0	7.0	0.17
0.0	14.5	6.0	0.0	0.0	26.0	6.0	24.0	0.0	15.0	6.0	0.2
0.0	14.0	6.0	0.0	0.0	5.0	1.0	4.0	0.0	6.0	1.0	0.2
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	9.0	0.18
0.0	19.5	7.0	8.0	0.0	18.0	4.0	16.0	12.0	9.0	4.0	0.17
0.0	4.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.2
0.0	19.6	7.0	0.0	0.0	60.0	10.0	30.0	0.0	24.0	10.0	0.14
0.0	0.89	2.0	0.0	0.0	0.0	0.0	0.0	8.0	52.0	9.0	0.17
0.0	4.31	11.0	0.0	16.0	167.0	18.0	399.0	38.0	83.0	314.0	0.15
0.0	20.33	11.0	0.0	0.0	18.0	0.0	5.0	0.0	9.0	3.0	0.16
0.0	4.44	6.0	2.0	0.0	153.0	64.0	100.0	0.0	37.0	265.0	0.17
0.0	18.67	7.0	0.0	0.0	17.0	3.0	8.0	0.0	20.0	3.0	0.24
0.0	19.33	7.0	0.0	0.0	54.0	9.0	27.0	0.0	19.0	9.0	0.15
0.0	17.0	7.0	0.0	0.0	55.0	10.0	25.0	0.0	25.0	10.0	0.16
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.12
0.0	18.67	7.0	0.0	0.0	18.0	3.0	9.0	0.0	12.0	3.0	0.16
0.0	13.8	7.0	0.0	0.0	57.0	10.0	20.0	0.0	7.0	10.0	0.12
0.0	27.25	10.0	0.0	0.0	44.0	4.0	8.0	0.0	13.0	4.0	0.31
0.0	24.0	5.0	2.0	15.0	4.0	1.0	0.0	2.0	0.0	1.0	0.0
0.0	14.0	7.0	0.0	0.0	29.0	5.0	10.0	0.0	12.0	5.0	0.33
0.0	5.0	4.0	0.0	0.0	6.0	0.0	6.0	0.0	2.0	6.0	0.33
0.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	4.0	0.6
0.0	20.0	7.0	0.0	0.0	18.0	3.0	9.0	0.0	19.0	3.0	0.23
0.0	20.0	7.0	0.0	0.0	60.0	10.0	30.0	0.0	20.0	10.0	0.14
0.0	32.44	11.0	0.0	0.0	627.0	48.0	185.0	9.0	102.0	48.0	0.13
0.0	13.6	6.0	0.0	0.0	22.0	5.0	18.0	0.0	16.0	5.0	0.21
0.0	19.0	7.0	0.0	0.0	58.0	10.0	28.0	0.0	26.0	10.0	0.16
0.0	6.33	4.0	3.0	0.0	0.0	0.0	10.0	0.0	7.0	3.0	0.37
0.0	1.33	3.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	3.0	0.38
