relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	5	0	0	0	0	0	1	0	3	4	0	2	0.12
0	7	9	30	0	0	0	0	3	42	5	0	1	0.19
0	5	0	0	0	0	0	0	1	24	1	0	1	0.32
0	5	0	0	1	1	0	0	1	9	1	0	1	0.27
0	6	3	0	6	0	0	0	0	21	14	0	2	0.23
0	4	0	0	10	0	0	0	0	0	15	0	5	0.0
0	3	1	2	0	0	0	0	0	2	2	1	2	0.22
0	4	0	0	0	1	0	3	0	5	2	0	1	0.71
0	7	0	0	14	6	0	19	0	58	128	26	23	0.32
0	7	0	0	11	5	0	16	0	47	107	25	23	0.31
0	3	0	0	0	2	0	0	0	0	2	0	2	0.0
0	3	0	0	0	0	0	0	0	1	1	1	1	0.17
0	11	0	0	0	3	0	0	1	13	6	0	4	0.31
0	7	0	0	9	4	0	13	0	17	26	9	8	0.28
0	5	0	1	0	1	10	0	0	11	2	0	1	0.15
0	8	0	0	7	0	0	1	0	1	4	0	1	0.05
0	7	0	0	11	5	0	17	0	52	107	25	23	0.31
0	7	0	0	13	6	0	21	0	44	128	26	23	0.24
0	10	1	0	5	3	0	0	0	18	4	0	2	0.44
0	7	0	0	9	4	0	13	0	37	74	21	20	0.31
0	3	7	0	0	0	0	0	0	4	14	1	8	0.07
0	3	4	8	0	0	0	0	0	2	8	1	5	0.06
0	11	0	0	0	3	0	0	1	16	6	0	4	0.25
0	11	0	0	5	1	0	2	0	4	7	0	2	0.07
0	6	0	0	2	0	0	7	0	0	5	0	2	0.0
0	5	0	0	0	1	0	0	0	0	1	0	1	0.0
0	3	6	0	0	0	0	0	0	3	12	1	7	0.07
0	2	0	0	0	0	0	0	0	0	2	0	2	0.0
0	7	0	0	9	4	0	13	0	44	86	24	23	0.31
0	11	1	0	6	3	0	0	0	16	4	0	2	0.34
0	5	0	24	0	0	0	12	0	12	23	0	3	0.21
0	3	4	0	0	0	0	0	0	2	8	1	5	0.08
0	7	0	0	14	6	0	20	0	49	128	26	23	0.26
0	4	3	29	0	0	0	0	0	37	68	4	18	0.17
0	7	1	0	0	1	0	0	0	0	2	0	2	0.0
0	6	0	0	13	6	0	21	0	35	122	25	22	0.21
0	5	0	0	0	0	0	0	0	4	8	0	4	0.17
0	11	14	1	2	0	12	14	2	30	1	0	1	0.18
0	14	1	0	5	5	0	0	0	3	7	0	5	0.14
0	7	1	3	6	1	0	1	0	4	1	0	1	0.27
0	7	0	0	14	6	0	24	0	39	86	19	16	0.27
0	3	25	0	0	0	0	0	0	19	50	1	26	0.15
0	7	1	0	12	0	0	2	0	8	5	5	2	0.13
0	6	0	0	13	6	0	21	0	50	122	25	22	0.22
0	7	0	0	11	5	0	17	0	34	72	18	16	0.24
0	11	10	0	2	0	9	15	2	25	1	0	1	0.18
0	7	0	0	13	6	0	21	0	46	128	26	23	0.25
0	8	0	0	0	0	1	8	0	3	14	0	7	0.05
0	11	11	1	3	0	6	9	2	29	1	0	1	0.2
0	6	1	1	0	0	0	1	0	3	1	0	1	0.38
0	7	1	2	0	0	0	1	0	2	1	0	1	0.22
0	6	0	0	4	3	0	1	0	9	1	0	1	0.11
0	3	0	0	0	0	0	7	0	0	3	0	1	0.0
0	7	2	0	19	0	0	3	0	9	10	5	3	0.13
0	3	0	0	0	0	0	0	0	0	1	1	1	0.0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
0	7	0	0	14	6	0	20	0	54	128	26	23	0.3
0	7	1	4	6	1	0	2	0	6	1	0	1	0.32
0	10	1	0	5	3	0	0	0	5	4	0	2	0.13
0	7	0	0	13	6	0	20	0	32	86	19	16	0.21
0	5	1	0	0	0	0	0	1	16	1	0	1	0.24
0	3	0	0	2	0	0	0	0	2	1	1	2	0.22
0	6	0	3	6	1	0	0	12	41	3	3	2	0.2
0	7	0	0	13	6	0	22	0	39	86	19	16	0.27
0	7	1	0	0	1	0	0	0	5	2	0	2	0.33
0	3	1	0	0	0	0	0	0	2	2	1	2	0.07
0	6	0	3	9	3	0	6	6	24	3	3	2	0.3
0	6	0	0	13	6	0	21	0	28	80	18	15	0.29
0	7	2	0	16	0	0	3	0	8	8	4	3	0.12
0	6	2	0	3	0	0	2	0	33	2	1	3	0.2
0	11	1	0	6	3	0	0	0	13	4	0	2	0.32
0	7	0	0	9	4	0	12	0	43	86	24	23	0.29
0	7	0	0	9	4	0	15	0	44	86	24	23	0.32
0	7	0	0	6	1	0	1	0	4	4	2	3	0.19
0	19	6	1	31	30	0	0	0	43	48	0	32	0.28
0	14	1	0	5	5	0	0	0	10	7	0	5	0.27
0	3	26	0	0	0	0	0	0	18	52	1	27	0.14
0	6	0	0	14	6	0	22	0	45	116	24	21	0.23
0	6	2	0	3	0	0	2	0	23	2	1	3	0.14
0	7	0	0	13	6	0	22	0	30	86	19	16	0.21
0	4	0	0	0	1	0	0	0	0	2	0	2	0.0
0	7	0	0	13	6	0	22	0	47	128	26	23	0.29
0	6	0	0	3	0	0	1	0	15	4	0	1	0.2
0	4	0	1	0	22	0	0	0	0	1	0	1	0.0
0	6	0	5	0	1	0	0	5	25	2	0	1	0.25
0	6	0	0	13	6	0	23	0	16	152	30	27	0.08
0	5	2	2	1	15	0	12	2	2	43	6	13	0.06
0	10	2	0	5	3	0	0	0	13	4	0	2	0.27
0	3	4	0	0	0	0	0	0	5	8	1	5	0.1
0	6	2	0	3	0	0	2	0	22	2	1	3	0.14
0	7	0	0	11	5	0	15	0	35	72	18	16	0.23
0	3	4	13	0	0	0	0	0	2	8	1	5	0.05
0	10	1	0	5	3	0	0	0	10	4	0	2	0.27
0	7	0	0	13	6	0	21	0	39	128	26	23	0.28
0	7	0	0	13	6	0	23	0	49	128	26	23	0.31
0	3	0	0	0	0	0	0	0	0	15	0	5	0.0
0	6	0	0	13	6	0	22	0	37	122	25	22	0.23
0	5	4	3	0	4	0	0	8	48	8	0	4	0.2
0	6	0	0	14	6	0	22	0	29	80	18	15	0.28
0	3	0	0	0	0	0	0	0	2	4	4	4	0.1
0	7	1	0	12	0	0	2	0	9	5	5	2	0.14
0	5	0	10	1	2	0	0	0	23	3	0	1	0.24
0	7	0	0	13	6	0	19	0	45	128	26	23	0.31
0	14	1	0	5	5	0	0	0	12	7	0	5	0.36
0	4	0	0	0	0	0	0	1	11	1	0	1	0.19
0	7	0	0	13	6	0	21	0	49	128	26	23	0.28
0	7	0	0	8	0	0	0	0	4	3	0	1	0.12
0	6	0	0	13	6	0	21	0	32	116	24	21	0.2
0	14	1	0	5	5	0	0	0	6	7	0	5	0.23
0	8	0	0	7	0	0	2	0	2	4	0	1	0.11
0	3	0	0	0	0	0	0	0	8	12	12	12	0.19
0	7	0	0	13	6	0	20	0	42	128	26	23	0.28
0	7	0	0	9	4	0	14	0	46	86	24	23	0.29
0	7	0	0	13	6	0	20	0	34	86	19	16	0.22
0	4	4	0	0	0	0	0	0	10	4	4	4	0.22
0	7	49	0	0	0	0	0	49	4	50	0	7	0.12
0	6	0	0	13	6	0	21	0	16	152	30	27	0.07
0	7	0	0	0	1	0	0	0	12	3	0	3	0.26
0	4	1	0	0	1	0	0	0	9	2	0	1	0.16
0	3	10	0	0	0	0	0	0	4	20	1	11	0.08
0	11	11	1	2	0	9	8	2	22	1	0	1	0.15
0	7	1	1	0	0	0	1	0	3	1	0	1	0.25
0	7	0	0	11	5	0	18	0	48	107	25	23	0.31
0	7	0	0	13	6	0	19	0	42	128	26	23	0.25
0	5	0	0	8	0	0	0	8	38	4	4	2	0.21
0	19	7	1	31	30	0	0	0	51	48	0	32	0.28
0	6	0	0	13	6	0	22	0	36	80	18	15	0.26
0	6	2	0	3	0	0	2	0	9	2	1	3	0.12
0	6	0	0	12	4	0	8	11	52	4	4	2	0.19
0	7	0	0	13	6	0	22	0	50	128	26	23	0.28
0	6	0	0	12	5	0	18	0	33	67	17	15	0.28
0	3	4	9	0	0	0	0	0	2	8	1	5	0.06
0	3	1	0	0	0	0	0	0	1	2	1	2	0.2
0	8	0	0	7	0	0	2	0	1	4	0	1	0.04
0	6	0	0	14	6	0	22	0	48	116	24	21	0.26
0	6	1	1	0	0	0	1	0	1	1	0	1	0.2
0	7	1	0	0	1	0	0	0	9	2	0	2	0.43
0	5	1	0	0	0	0	1	0	7	8	0	4	0.23
0	5	0	0	8	4	0	0	8	7	4	4	2	0.06
0	7	0	0	13	6	0	21	0	35	86	19	16	0.23
0	7	0	0	13	6	0	21	0	51	128	26	23	0.27
0	6	1	2	0	1	0	0	0	4	1	0	1	0.36
0	5	4	4	0	4	0	4	0	21	8	0	2	0.2
0	7	0	0	11	5	0	16	0	50	107	25	23	0.27
0	3	3	3	0	0	0	0	0	6	6	1	4	0.19
0	6	0	0	13	6	0	22	0	45	116	24	21	0.23
0	10	9	9	0	0	0	9	0	8	18	0	12	0.18
0	3	1	0	0	0	0	0	0	0	2	1	2	0.0
0	6	0	0	13	6	0	20	0	33	122	25	22	0.23
0	7	0	0	13	6	0	19	0	47	128	26	23	0.26
0	7	1	0	0	1	0	0	0	6	2	0	2	0.5
0	5	0	0	2	2	0	0	9	2	4	0	1	0.1
0	7	0	0	9	4	0	13	0	32	34	11	10	0.33
0	15	0	0	0	5	0	0	0	12	9	0	7	0.26
0	5	0	0	4	0	27	27	0	16	7	0	1	0.25
0	6	2	0	3	0	0	2	0	21	2	1	3	0.14
0	7	0	0	11	5	0	16	0	44	107	25	23	0.31
0	4	0	0	13	0	0	0	0	1	17	0	4	0.05
0	3	9	0	0	0	0	0	0	2	18	1	10	0.04
0	7	0	0	14	6	0	22	0	54	128	26	23	0.32
0	6	2	0	3	0	0	2	0	14	2	1	3	0.18
0	3	0	0	0	0	0	0	0	1	2	2	2	0.12
0	3	4	0	0	0	0	0	0	6	8	1	5	0.1
0	3	4	0	0	0	0	0	0	4	8	1	5	0.05
0	6	0	0	13	6	0	22	0	14	152	30	27	0.08
0	7	16	50	0	0	0	0	3	73	5	0	1	0.22
0	7	0	0	14	6	0	23	0	47	86	19	16	0.3
0	5	1	0	0	0	0	0	1	12	1	0	1	0.18
0	4	0	0	0	0	0	0	0	6	0	12	12	0.26
0	10	2	0	5	3	0	0	0	6	4	0	2	0.12
0	6	0	0	10	0	0	9	0	0	15	0	5	0.0
0	4	3	10	0	1	0	0	0	14	2	0	1	0.25
0	7	0	0	13	6	0	21	0	52	128	26	23	0.3
0	7	0	0	13	6	0	22	0	28	86	19	16	0.28
0	5	0	0	8	4	0	0	8	9	4	4	2	0.09
0	8	0	5	0	2	0	0	0	17	2	0	2	0.33
0	6	0	0	13	6	0	23	0	43	116	24	21	0.23
0	6	0	0	13	6	0	18	0	16	152	30	27	0.08
0	7	0	0	13	6	0	18	0	35	86	19	16	0.22
0	7	0	0	13	6	0	21	0	43	128	26	23	0.28
0	4	0	1	2	0	0	0	0	2	1	1	2	0.17
0	7	0	0	9	4	0	14	0	37	86	24	23	0.3
0	7	0	0	13	6	0	22	0	48	128	26	23	0.26
0	5	0	3	6	3	0	0	6	4	3	3	2	0.05
0	6	0	0	13	6	0	22	0	42	122	25	22	0.26
0	7	0	0	7	0	0	0	0	3	3	0	1	0.11
0	7	0	0	9	4	0	14	0	40	82	23	22	0.32
0	7	0	0	9	4	0	15	0	41	82	23	22	0.34
0	6	8	3	0	0	0	0	0	5	24	0	9	0.16
0	3	7	0	0	0	0	0	0	1	14	1	8	0.03
0	7	1	2	0	0	0	1	0	1	1	0	1	0.11
0	4	4	12	0	1	0	0	0	20	2	0	1	0.3
