relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	0.0	2	2	26	0	0	0	0	28	1	0.12
1	0.0	1	0	0	0	0	0	0	20	5	0.51
1	1.0	2	0	0	0	0	0	0	29	6	0.52
1	1.38	5	0	0	4	0	1	0	35	8	0.48
1	2.5	5	0	0	4	0	1	0	19	2	0.59
1	4.56	4	8	8	0	0	0	0	88	9	0.49
1	3.67	4	2	2	0	0	0	0	66	3	0.41
1	2.0	2	0	0	12	0	0	0	35	6	0.44
1	0.0	1	0	0	0	0	0	0	127	1	0.48
1	0.0	2	0	10	0	0	0	0	9	1	0.19
1	2.0	2	0	0	16	0	0	0	25	8	0.53
1	0.0	1	0	0	0	0	0	0	11	4	0.52
1	0.0	1	0	0	0	0	0	0	45	5	0.41
1	0.0	1	0	0	0	0	0	0	6	6	0.46
1	2.0	2	0	0	2	0	0	0	21	1	0.51
1	2.0	2	0	0	8	0	0	0	26	4	0.49
1	1.6	5	0	0	4	0	1	0	25	5	0.44
1	1.5	5	0	0	4	0	1	0	44	6	0.55
1	4.64	4	10	10	0	0	0	0	99	11	0.48
1	0.0	1	0	0	0	0	0	0	18	8	0.43
1	0.0	1	0	0	0	0	0	0	69	1	0.52
1	1.0	2	0	0	0	0	0	0	27	5	0.52
1	2.0	2	0	0	16	0	0	0	29	8	0.6
1	0.0	1	0	11	0	0	0	0	29	10	0.49
1	0.0	1	0	0	0	0	0	0	138	1	0.48
1	0.0	1	0	0	0	0	0	0	21	7	0.68
1	1.38	5	0	0	4	0	1	0	38	8	0.49
1	0.0	1	0	0	0	0	0	0	19	5	0.51
1	2.0	2	0	0	16	0	0	0	20	8	0.61
1	0.0	1	0	0	0	0	0	0	121	1	0.49
1	2.0	2	0	0	6	0	0	0	25	3	0.66
1	2.5	5	0	0	4	0	1	0	14	2	0.54
1	2.0	2	0	0	4	0	0	0	2	2	0.5
1	0.0	1	0	0	0	0	0	0	24	5	0.62
1	3.0	4	1	1	0	0	0	0	14	2	0.32
1	4.5	4	7	7	0	0	0	0	69	8	0.51
1	4.56	4	8	8	0	0	0	0	83	9	0.49
1	4.33	4	5	5	0	0	0	0	102	6	0.4
1	0.0	2	0	8	0	0	0	0	7	1	0.2
1	0.2	3	0	0	0	0	0	0	67	45	0.59
1	0.0	2	0	1	0	0	0	0	3	1	0.11
1	4.6	4	9	9	0	0	0	0	90	10	0.47
1	1.75	5	0	0	4	0	1	0	29	4	0.56
1	1.5	5	0	0	4	0	1	0	50	6	0.58
1	0.0	1	0	0	0	0	0	0	128	1	0.49
1	2.0	2	0	0	2	0	0	0	16	1	0.57
1	4.43	4	6	6	0	0	0	0	62	7	0.41
1	2.0	2	0	0	4	0	0	0	38	2	0.6
1	2.0	2	0	0	10	0	0	0	16	5	0.52
1	0.0	1	0	0	0	0	0	0	29	1	0.38
1	0.0	1	0	0	0	0	0	0	19	2	0.66
1	0.0	1	0	0	0	0	0	0	146	1	0.53
1	2.0	2	0	0	10	0	0	0	17	5	0.53
1	2.0	2	0	0	10	0	0	0	29	5	0.48
1	0.0	2	0	1	0	0	0	0	9	1	0.19
1	1.5	5	0	0	4	0	1	0	45	6	0.52
1	1.5	5	0	0	4	0	1	0	36	6	0.51
1	4.33	4	5	5	0	0	0	0	43	6	0.43
1	0.0	2	0	0	0	0	1	0	4	1	0.67
1	0.0	2	0	2	0	0	0	0	7	1	0.35
1	1.5	5	0	0	4	0	1	0	60	6	0.58
1	2.0	2	0	0	4	0	0	0	24	2	0.71
1	4.6	4	9	9	0	0	0	0	83	10	0.4
1	2.0	2	0	0	6	0	0	0	41	3	0.58
1	2.0	2	0	0	4	0	0	0	5	2	0.56
1	1.0	2	0	2	0	0	0	0	33	2	0.67
1	0.0	2	0	12	0	0	0	0	24	1	0.3
1	0.0	1	0	0	0	0	0	0	27	6	0.53
1	0.0	1	0	0	0	0	0	0	54	1	0.51
1	1.0	2	0	11	0	0	0	0	31	10	0.53
1	4.56	4	8	8	0	0	0	0	111	9	0.47
1	1.5	5	0	0	4	0	1	0	35	6	0.41
1	2.0	2	0	0	4	0	0	0	30	2	0.61
1	2.0	2	0	0	4	0	0	0	12	2	0.75
1	0.0	1	0	0	0	0	0	0	17	7	0.68
1	1.0	2	0	0	0	0	0	0	64	7	0.44
1	0.0	1	0	0	0	0	0	0	8	1	0.67
1	1.6	5	0	0	4	0	1	0	65	5	0.64
1	0.0	1	0	0	0	0	0	0	9	9	0.43
1	0.0	2	0	6	0	0	0	0	8	1	0.18
1	4.33	4	5	5	0	0	0	0	35	6	0.47
1	4.43	4	6	6	0	0	0	0	52	7	0.48
1	2.0	2	0	0	12	0	0	0	21	6	0.75
1	2.0	2	0	0	18	0	0	0	25	9	0.61
1	0.0	1	0	0	0	0	0	0	13	8	0.57
1	2.0	2	0	0	14	0	0	0	18	7	0.69
1	1.75	5	0	0	4	0	1	0	20	4	0.49
1	4.6	4	9	9	0	0	0	0	105	10	0.51
1	0.0	1	0	0	0	0	0	0	2	2	0.33
1	0.0	1	0	0	0	0	0	0	3	3	0.33
1	2.0	2	0	0	8	0	0	0	40	4	0.61
1	1.43	5	0	0	4	0	1	0	30	7	0.56
1	1.5	5	0	0	4	0	1	0	38	6	0.54
1	2.0	2	0	0	4	0	0	0	17	2	0.68
1	1.5	5	0	0	4	0	1	0	49	6	0.52
1	1.5	5	0	0	4	0	1	0	75	6	0.62
1	0.0	2	0	14	0	0	0	0	18	1	0.22
1	0.0	2	0	0	0	0	1	0	10	1	0.59
1	1.5	5	0	0	4	0	1	0	37	6	0.41
1	2.0	2	0	0	14	0	0	0	20	7	0.67
1	2.0	2	0	0	8	0	0	0	23	4	0.51
1	2.0	2	0	0	18	0	0	0	26	9	0.5
1	0.75	2	0	3	0	0	0	0	39	4	0.55
1	4.33	4	5	5	0	0	0	0	86	6	0.5
1	1.0	2	0	0	0	0	0	0	22	4	0.54
1	0.0	1	0	0	0	0	0	0	14	3	0.52
1	4.6	4	9	9	0	0	0	0	102	10	0.49
1	0.0	2	0	14	0	0	0	0	12	1	0.14
1	0.0	1	0	0	0	0	0	0	27	8	0.63
1	1.0	2	0	0	0	0	0	0	52	7	0.41
1	0.0	1	0	0	0	0	0	0	34	15	0.49
1	1.0	2	0	0	0	0	0	0	26	6	0.57
1	0.0	1	0	0	0	0	0	0	36	5	0.58
1	1.38	5	0	0	4	0	1	0	23	8	0.37
1	0.0	2	0	8	0	0	0	0	5	1	0.18
1	2.0	2	0	0	4	0	0	0	42	2	0.55
1	1.5	5	0	0	4	0	1	0	65	6	0.59
1	1.0	2	0	0	0	0	0	0	1	1	0.25
1	1.75	5	0	0	4	0	1	0	22	4	0.56
