relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr
1	10	0	4	1	0	0	7	0	45	9	9	9
0	6	0	0	13	6	0	18	0	108	152	30	27
0	7	1	0	0	1	0	0	0	1	2	0	2
0	5	0	0	8	4	0	0	8	43	4	4	2
1	6	3	0	2	0	0	1	0	48	2	2	2
0	7	0	0	11	5	0	16	0	120	107	25	23
1	4	0	0	0	0	4	0	0	39	53	53	53
0	3	25	0	0	0	0	0	0	37	50	1	26
0	7	0	0	13	6	0	20	0	158	128	26	23
1	4	0	0	0	0	6	0	0	29	54	54	54
0	7	0	0	11	5	0	17	0	150	107	25	23
1	10	0	2	1	0	0	4	0	30	7	7	7
1	6	0	1	1	0	0	2	0	27	7	7	7
1	10	13	0	3	0	10	12	1	38	1	0	1
0	3	4	0	0	0	0	0	0	10	8	1	5
0	14	2	0	5	5	0	0	0	9	7	0	5
1	8	0	0	0	0	2	12	0	23	10	0	5
0	5	1	0	0	0	0	0	1	24	1	0	1
1	3	0	0	0	0	0	0	0	52	62	0	31
1	3	0	0	0	0	0	0	0	43	18	18	18
1	3	0	0	0	0	0	0	0	41	32	0	16
1	4	0	0	9	0	0	0	0	34	9	9	9
1	6	0	3	1	0	0	5	0	37	8	8	8
1	6	0	3	1	0	0	5	0	37	7	7	7
0	10	0	0	0	0	0	1	0	4	1	0	1
0	5	0	3	6	3	0	0	6	26	3	3	2
0	10	1	1	5	3	0	0	0	12	4	0	2
0	7	0	0	9	4	0	13	0	122	86	24	23
0	6	0	0	12	0	0	0	0	8	2	0	1
1	6	2	0	1	0	0	2	0	29	24	0	6
1	6	0	1	1	0	0	1	0	28	7	7	7
1	4	0	0	8	0	0	0	0	3	8	8	8
1	4	0	0	6	0	0	0	0	4	6	6	6
0	6	1	0	2	0	0	1	0	8	1	1	2
1	3	0	0	0	0	0	0	0	9	36	0	18
0	6	0	3	6	3	0	0	6	59	3	3	2
1	6	2	0	1	0	0	2	0	35	20	0	5
1	4	0	0	0	0	0	1	0	47	77	0	39
1	4	0	0	10	0	0	0	0	9	10	10	10
0	6	0	0	13	6	0	20	0	188	122	25	22
0	6	0	0	14	6	0	22	0	177	116	24	21
1	3	0	0	0	0	0	0	0	83	74	0	37
0	7	0	0	9	4	0	15	0	45	22	8	7
1	10	10	0	3	0	8	9	1	33	1	0	1
0	7	1	0	10	0	0	2	0	19	4	4	2
1	4	0	0	10	0	0	0	0	23	10	10	10
1	4	0	0	10	0	0	0	0	46	10	10	10
1	4	0	0	0	0	0	1	0	88	79	0	40
0	7	0	0	13	6	0	20	0	167	128	26	23
0	6	0	0	9	4	0	11	0	77	102	28	27
1	3	0	0	0	0	0	0	0	6	16	0	5
0	3	7	0	0	0	0	0	0	3	14	1	8
1	4	0	0	0	0	0	1	0	30	71	0	36
1	10	0	3	1	0	0	7	0	40	8	8	8
0	4	4	0	0	0	0	0	0	28	4	4	4
1	1	0	11	0	0	10	0	0	11	0	0	0
1	4	0	0	6	0	0	0	0	3	6	6	6
0	7	0	0	13	6	0	22	0	137	128	26	23
0	7	0	3	9	3	0	6	13	102	3	3	2
0	7	0	0	13	6	0	21	0	116	86	19	16
1	6	2	0	1	0	0	2	0	21	3	0	1
1	3	0	0	0	0	0	0	0	166	538	0	269
1	4	7	0	0	0	0	0	0	29	52	52	52
1	4	0	0	0	0	12	0	0	38	36	36	36
1	6	2	0	1	0	0	2	0	33	24	0	6
1	6	2	0	1	0	0	2	0	38	28	0	7
0	7	0	0	14	6	0	22	0	175	128	26	23
1	10	0	3	1	0	0	6	0	38	8	8	8
0	3	4	0	0	0	0	0	0	6	8	1	5
1	4	0	0	0	0	9	0	0	40	48	48	48
0	7	0	0	0	0	3	2	0	2	1	0	1
0	5	0	0	6	1	0	1	0	8	6	3	3
0	6	0	0	13	6	0	23	0	192	116	24	21
1	6	0	1	1	0	0	1	0	21	5	5	5
1	6	3	0	2	0	0	1	0	38	2	2	2
0	10	0	0	0	0	6	3	0	4	5	0	2
1	6	0	1	1	0	0	1	0	25	7	7	7
1	4	0	0	0	0	8	0	0	29	53	53	53
1	6	0	2	1	0	0	5	0	33	7	7	7
0	7	0	0	9	4	0	11	0	111	86	24	23
1	4	15	0	109	0	109	76	0	296	0	0	0
1	4	0	0	0	0	8	0	0	33	53	53	53
0	5	0	3	6	3	0	0	6	39	3	3	2
1	6	3	0	2	0	0	1	0	42	2	2	2
0	3	0	0	0	0	0	1	0	7	1	0	1
0	5	0	7	0	1	0	0	0	16	2	0	1
0	7	0	0	14	6	0	20	0	111	86	19	16
1	10	0	3	1	0	0	6	0	38	7	7	7
0	11	11	0	2	0	9	15	2	43	1	0	1
0	3	13	0	0	0	0	0	0	8	26	1	14
0	7	0	0	13	6	0	18	0	145	128	26	23
1	6	3	0	2	0	0	1	0	31	2	2	2
1	6	0	3	1	0	0	7	0	40	8	8	8
1	6	0	4	1	0	0	8	0	42	8	8	8
0	7	86	80	0	0	0	9	80	61	72	8	10
0	19	0	6	0	31	0	0	5	112	60	0	44
1	4	0	0	0	0	0	1	0	25	69	0	35
0	7	0	0	14	6	0	20	0	124	86	19	16
0	3	0	0	0	0	0	0	0	2	6	2	4
0	6	2	0	3	0	0	2	0	37	2	1	3
1	4	0	9	0	0	0	0	0	33	60	83	83
0	4	0	1	0	1	0	0	0	0	2	0	2
0	3	0	0	0	0	0	0	0	0	90	0	30
0	6	2	0	3	0	0	2	0	52	2	1	3
0	3	1	4	0	0	0	0	0	1	2	1	2
0	7	0	0	14	6	0	23	0	165	128	26	23
0	5	0	0	15	1	0	1	0	12	15	3	6
1	4	0	0	0	0	0	1	0	33	73	0	37
1	10	0	3	1	0	0	6	0	55	12	12	12
0	10	1	0	5	3	0	0	0	11	4	0	2
1	6	0	3	1	0	0	5	0	33	5	5	5
0	7	0	0	13	6	0	22	0	141	128	26	23
1	6	0	1	1	0	0	1	0	17	3	3	3
0	4	0	0	0	8	0	0	0	0	8	0	4
1	10	0	5	1	0	0	13	0	51	9	9	9
0	3	3	0	0	0	0	0	0	4	6	1	4
1	4	0	0	7	0	0	0	0	8	7	7	7
0	7	0	0	13	6	0	20	0	139	128	26	23
1	6	2	0	1	0	0	2	0	27	22	0	6
1	3	0	0	0	0	0	0	0	7	32	0	16
0	7	0	0	9	4	0	13	0	104	86	24	23
1	10	10	0	2	0	9	9	1	35	1	0	1
0	5	0	0	8	4	0	0	8	96	4	4	2
1	3	0	0	0	0	0	0	0	5	16	0	5
1	3	0	0	0	0	0	0	0	53	62	0	31
1	6	0	1	1	0	0	1	0	17	4	4	4
1	4	7	0	0	0	0	0	0	16	40	40	40
0	6	1	1	0	0	0	1	0	5	1	0	1
0	3	0	0	0	0	0	0	0	2	1	0	1
1	3	0	0	0	0	0	0	0	54	76	0	38
1	10	0	3	1	0	0	5	0	40	8	8	8
1	6	0	3	1	0	0	5	0	39	7	7	7
0	3	0	0	0	0	0	0	0	8	3	3	3
1	3	0	0	0	0	0	0	0	9	32	0	16
0	7	0	0	13	6	0	20	0	137	128	26	23
0	4	0	0	0	0	0	0	0	3	4	0	2
0	6	0	0	9	0	0	2	0	4	3	0	1
0	5	0	0	10	0	0	3	0	4	15	0	5
1	4	0	0	0	0	0	0	0	9	21	31	31
0	6	0	0	13	6	0	21	0	198	116	24	21
0	6	0	0	13	6	0	21	0	141	80	18	15
1	6	0	2	1	0	0	6	0	40	8	8	8
0	7	0	0	13	6	0	20	0	109	86	19	16
0	15	0	1	0	6	0	0	1	20	9	0	7
0	5	0	0	3	1	0	1	0	5	3	3	2
0	7	0	0	13	6	0	23	0	160	128	26	23
1	6	2	0	1	0	0	2	0	32	22	0	6
1	10	0	3	1	0	0	7	0	50	11	11	11
1	4	0	0	10	0	0	0	0	6	10	10	10
1	6	0	1	1	0	0	2	0	23	4	4	4
1	10	0	2	1	0	0	5	0	33	8	8	8
0	6	0	0	11	5	0	19	0	118	62	16	14
0	5	0	0	0	0	13	0	0	27	12	12	12
0	11	14	1	2	0	12	14	2	39	1	0	1
1	10	0	3	1	0	0	5	0	41	9	9	9
1	10	0	3	1	0	0	10	0	43	9	9	9
0	7	1	0	10	0	0	2	0	15	4	4	2
1	6	0	3	1	0	0	4	0	38	7	7	7
1	4	0	0	0	0	0	1	0	45	79	0	40
1	3	0	0	0	0	0	0	0	1	5	0	3
1	6	0	3	1	0	0	7	0	42	9	9	9
0	15	0	3	0	5	0	0	1	16	9	0	7
0	7	0	0	13	6	0	19	0	140	128	26	23
0	5	0	0	10	0	0	9	0	2	15	0	5
0	11	9	1	2	0	6	9	2	37	1	0	1
1	4	0	0	0	0	15	0	0	47	39	39	39
1	3	0	0	0	0	0	0	0	139	104	0	52
0	7	0	0	14	6	0	21	0	162	128	26	23
1	3	0	0	0	0	0	0	0	58	52	0	26
1	3	0	0	0	0	0	0	0	12	34	0	17
0	3	15	0	0	0	0	0	0	9	30	1	16
1	6	0	3	1	0	0	10	0	39	8	8	8
1	5	0	0	0	0	0	0	0	1	2	0	1
1	10	0	3	1	0	0	7	0	37	7	7	7
1	3	0	0	0	0	0	0	0	111	94	0	47
0	6	15	11	80	7	0	5	0	121	90	6	16
1	10	0	3	1	0	0	5	0	38	7	7	7
0	5	1	1	0	0	0	0	1	37	1	0	1
1	6	0	3	1	0	0	6	0	40	8	8	8
0	6	0	0	13	6	0	23	0	210	116	24	21
0	6	0	0	14	6	0	23	0	211	134	27	24
1	4	0	2	0	0	0	0	0	46	64	84	84
0	5	2	0	2	0	0	0	0	1	2	0	1
1	2	0	0	0	0	0	0	0	18	28	0	14
1	3	0	0	0	0	0	0	0	103	88	107	107
1	4	0	0	0	0	0	1	0	34	71	0	36
1	6	2	0	1	0	0	2	0	27	24	0	6
0	5	0	0	0	1	10	0	0	20	2	0	1
1	4	0	0	0	0	0	1	0	47	75	0	38
