relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
1	6	3	0	2	0	0	1	0	55	2	2	2	0.5
0	3	10	0	0	0	0	0	0	15	20	1	11	0.28
0	14	1	1	5	5	0	0	0	16	7	0	5	0.39
1	6	3	0	2	0	0	1	0	32	2	2	2	0.53
0	3	14	0	0	0	0	0	0	16	28	1	15	0.13
1	6	0	3	1	0	0	6	0	38	8	8	8	0.43
1	10	0	3	1	0	0	8	0	40	8	8	8	0.38
1	3	0	0	0	0	0	0	0	141	88	107	107	0.43
0	7	0	0	11	5	0	16	0	80	107	25	23	0.55
1	3	0	0	0	0	0	0	0	48	44	0	22	0.65
0	5	0	7	0	1	0	0	0	17	2	0	1	0.45
1	6	0	1	1	0	0	1	0	22	4	4	4	0.35
1	6	0	3	1	0	0	4	0	38	9	9	9	0.42
1	6	2	0	1	0	0	2	0	54	24	0	6	0.54
1	10	0	5	1	0	0	13	0	52	9	9	9	0.41
0	6	0	0	10	0	0	12	0	3	15	0	5	0.25
0	6	8	3	0	0	0	0	0	14	24	0	9	0.43
0	5	0	35	0	0	0	18	0	38	39	0	9	0.45
0	7	0	0	11	5	0	16	0	85	107	25	23	0.53
1	6	2	0	1	0	0	2	0	34	12	0	3	0.45
1	10	11	0	3	0	9	9	1	55	1	0	1	0.35
1	10	0	3	1	0	0	6	0	41	8	8	8	0.38
1	10	0	3	1	0	0	8	0	47	9	9	9	0.41
1	4	0	0	11	0	0	0	0	35	11	11	11	0.59
0	7	0	0	13	6	0	21	0	94	128	26	23	0.56
1	6	0	3	1	0	0	5	0	44	9	9	9	0.45
0	5	0	0	10	0	0	15	0	4	15	0	5	0.33
1	3	0	0	0	0	0	0	0	22	18	0	5	0.7
1	6	2	0	1	0	0	2	0	36	8	0	2	0.5
0	7	0	0	13	6	0	20	0	103	122	25	22	0.5
0	7	0	0	13	6	0	19	0	87	128	26	23	0.51
1	6	0	1	1	0	0	1	0	25	6	6	6	0.38
1	6	0	1	1	0	0	1	0	27	7	7	7	0.38
0	3	0	0	0	0	0	1	0	8	1	0	1	0.88
0	5	1	1	1	1	0	0	1	15	2	0	1	0.21
0	6	0	0	13	6	0	20	0	69	140	28	25	0.33
1	6	2	0	1	0	0	2	0	60	28	0	7	0.53
0	7	0	11	0	1	10	0	2	36	2	0	1	0.48
1	3	0	0	0	0	0	0	0	32	19	19	19	0.42
1	3	0	0	0	0	0	0	0	20	18	0	5	0.66
0	3	4	9	0	0	0	0	0	7	8	1	5	0.21
0	4	0	0	0	0	0	0	0	3	5	5	5	0.25
0	7	0	0	11	5	0	18	0	77	107	25	23	0.57
0	7	1	0	10	0	0	2	0	23	4	4	2	0.38
0	7	0	0	13	6	0	21	0	92	128	26	23	0.51
1	10	0	3	1	0	0	5	0	31	4	4	4	0.35
1	3	1	0	0	0	1	0	1	32	0	0	0	0.45
1	6	0	1	1	0	0	2	0	26	5	5	5	0.4
0	6	2	0	3	0	0	2	0	64	2	1	3	0.43
1	4	0	0	10	0	0	0	0	28	10	10	10	0.62
0	5	1	0	0	0	0	0	1	26	1	0	1	0.4
1	3	0	0	0	0	0	0	0	7	2	0	1	0.77
0	7	0	0	13	6	0	20	0	95	128	26	23	0.49
